file_path,error_reason
/home/hemduttdabral/Downloads/proj-api-volume-dump/363af7b3-752e-40df-855d-a5ebc3801d8e/workspace/projects/fan_coil_monitoring_mlc_STWIN/ai_fan_coil_monitoring_mlc_STWIN.json,'$schema' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/363af7b3-752e-40df-855d-a5ebc3801d8e/workspace/projects/smart_asset_tracking_on_nucleo/ai_smart_asset_tracking_on_nucleo.json,'$schema' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/363af7b3-752e-40df-855d-a5ebc3801d8e/workspace/projects/fan_coil_monitoring_mlc/ai_fan_coil_monitoring_mlc.json,'$schema' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/4bbbacec-f177-40f3-8265-63c5285569c4/workspace/projects/Project_name_221211/ai_Project_name_221211.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/4bbbacec-f177-40f3-8265-63c5285569c4/workspace/projects/Project_name_4924/ai_Project_name_4924.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/92be9656-88c9-46ea-96cf-884d72b3464e/workspace/projects/Project_name_454872/ai_Project_name_454872.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/92be9656-88c9-46ea-96cf-884d72b3464e/workspace/projects/Project_name_434188/ai_Project_name_434188.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/bfde9b6d-d2db-432d-867d-7fd41f0806c0/workspace/projects/Project_name_257639/ai_Project_name_257639.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/bfde9b6d-d2db-432d-867d-7fd41f0806c0/workspace/projects/Project_name_551505/ai_Project_name_551505.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/9bb2f04f-ea05-43cf-a026-72769ae0fd9f/workspace/projects/Project_name_727808/ai_Project_name_727808.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/fb632ef6-a925-499f-970d-282819079f70/workspace/projects/Project_name_132372/ai_Project_name_132372.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/252bdbb8-f024-43c6-8d6c-d1f951de2d27/workspace/projects/Project_name_674355/ai_Project_name_674355.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/38c396d8-e8f9-4f0a-a3a7-4a3b71638b0f/workspace/projects/Project_name_607581/ai_Project_name_607581.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/38c396d8-e8f9-4f0a-a3a7-4a3b71638b0f/workspace/projects/Project_name_935884/ai_Project_name_935884.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/38c396d8-e8f9-4f0a-a3a7-4a3b71638b0f/workspace/projects/Project_name_821901/ai_Project_name_821901.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/38c396d8-e8f9-4f0a-a3a7-4a3b71638b0f/workspace/projects/Project_name_930731/ai_Project_name_930731.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/a63b837c-c557-458b-a435-ea6476d0f5b0/workspace/projects/Project_name_857820/ai_Project_name_857820.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/a63b837c-c557-458b-a435-ea6476d0f5b0/workspace/projects/Project_name_896534/ai_Project_name_896534.json,'project_owner_uuid' is a required property
/home/hemduttdabral/Downloads/proj-api-volume-dump/a63b837c-c557-458b-a435-ea6476d0f5b0/workspace/projects/Project_name_957394/ai_Project_name_957394.json,'project_owner_uuid' is a required property
